status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
 section closed 64513 Lecture AL2 11:00AM - 11:50AM MWF     1320 Digital Computer Laboratory Zilles, C
 1. section open 63734 Discussion/ Recitation AYA 11:00AM - 11:50AM M       1111 Siebel Center for Comp Sci Zilles, C
 1. section open 63735 Discussion/ Recitation AYB 12:00PM - 12:50PM M       1111 Siebel Center for Comp Sci Zilles, C
 1. section open 63736 Discussion/ Recitation AYC 01:00PM - 01:50PM M       1111 Siebel Center for Comp Sci Zilles, C
 1. section open 63737 Discussion/ Recitation AYD 02:00PM - 02:50PM M       1111 Siebel Center for Comp Sci Zilles, C
 section closed 63738 Discussion/ Recitation AYE 03:00PM - 03:50PM M       1111 Siebel Center for Comp Sci Zilles, C
 section closed 63739 Discussion/ Recitation AYF 04:00PM - 04:50PM M       1111 Siebel Center for Comp Sci Zilles, C
 section closed 63740 Discussion/ Recitation AYG 11:00AM - 11:50AM T       1111 Siebel Center for Comp Sci Zilles, C
 section closed 64544 Discussion/ Recitation AYH 12:00PM - 12:50PM T       1111 Siebel Center for Comp Sci Zilles, C
 section closed 64545 Discussion/ Recitation AYI 01:00PM - 01:50PM T       1111 Siebel Center for Comp Sci Zilles, C
 section closed 64546 Discussion/ Recitation AYJ 02:00PM - 02:50PM T       1111 Siebel Center for Comp Sci Zilles, C
 1. section open 64547 Discussion/ Recitation AYK 03:00PM - 03:50PM T       1111 Siebel Center for Comp Sci Zilles, C
 1. section open 64548 Discussion/ Recitation AYL 04:00PM - 04:50PM T       1111 Siebel Center for Comp Sci Zilles, C
-------------------------------------------------------------------------------------
CS 241  : System Programming
 1. section open 59531 Discussion/ Recitation ADA 09:00AM - 10:20AM R       0218 Siebel Center for Comp Sci Angrave, L
 1. section open 51471 Discussion/ Recitation ADB 10:30AM - 11:50AM R       0218 Siebel Center for Comp Sci Angrave, L
 section closed 51472 Discussion/ Recitation ADC 12:00PM - 01:20PM R       0218 Siebel Center for Comp Sci Angrave, L
 section closed 51473 Discussion/ Recitation ADD 01:30PM - 02:50PM R       0218 Siebel Center for Comp Sci Angrave, L
 section closed 51474 Discussion/ Recitation ADE 03:00PM - 04:20PM R       0218 Siebel Center for Comp Sci Angrave, L
 section closed 51475 Discussion/ Recitation ADF 04:30PM - 05:50PM R       0218 Siebel Center for Comp Sci Angrave, L
 section closed 66269 Discussion/ Recitation ADG 06:00PM - 07:20PM R       0218 Siebel Center for Comp Sci Angrave, L
 1. section open 66270 Discussion/ Recitation ADH 07:30PM - 08:50PM R       0218 Siebel Center for Comp Sci Angrave, L
 1. section open 66271 Discussion/ Recitation ADJ 09:00AM - 10:20AM R       0222 Siebel Center for Comp Sci Angrave, L
 1. section open 66272 Discussion/ Recitation ADK 10:30AM - 11:50AM R       0222 Siebel Center for Comp Sci Angrave, L
 1. section open 66273 Discussion/ Recitation ADL 12:00PM - 01:20PM R       0222 Siebel Center for Comp Sci Angrave, L
 section closed 51476 Discussion/ Recitation ADM 01:30PM - 02:50PM R       0222 Siebel Center for Comp Sci Angrave, L
 section restricted 45300 Lecture AL1 12:00PM - 12:50PM MWF     1320 Digital Computer Laboratory Angrave, L
 section restricted 66268 Lecture AL2 01:00PM - 01:50PM MWF     1320 Digital Computer Laboratory Angrave, L
-------------------------------------------------------------------------------------
CS 242  : Programming Studio
 section closed 45328 Laboratory AB1 ARRANGED n.a ARR Siebel Center for Comp Sci Woodley, M
 section closed 45325 Lecture AL1 03:00PM - 03:50PM M       1404 Siebel Center for Comp Sci Woodley, M
 section Pending 67016 Laboratory BB1 ARRANGED n.a n.a N/A
 section Pending 67015 Lecture BL1 03:30PM - 04:20PM W       0216 Siebel Center for Comp Sci Woodley, M
-------------------------------------------------------------------------------------
CS 296  : Honors Course
 section restricted 31518 Lecture-Discussion 25  ARRANGED n.a ARR Siebel Center for Comp Sci Heeren, C
 section restricted 62763 Lecture-Discussion 33  ARRANGED n.a ARR Siebel Center for Comp Sci Zilles, C
 section restricted 57758 Lecture-Discussion 41  07:00PM - 08:50PM W       1304 Siebel Center for Comp Sci Angrave, L
-------------------------------------------------------------------------------------
CS 357  : Numerical Methods I
 section closed 53280 Lecture-Discussion M   09:30AM - 10:45AM TR      1404 Siebel Center for Comp Sci Kloeckner, A
 section Pending 63536 Lecture-Discussion N   ARRANGED n.a n.a Kloeckner, A
-------------------------------------------------------------------------------------
CS 361  : Probability & Statistics for Computer Science
 1. section open 66303 Discussion/ Recitation ADA 11:00AM - 11:50AM R       1304 Siebel Center for Comp Sci N/A
 1. section open 66304 Discussion/ Recitation ADB 12:00PM - 12:50PM R       1304 Siebel Center for Comp Sci N/A
 1. section open 66305 Discussion/ Recitation ADC 01:00PM - 01:50PM R       1304 Siebel Center for Comp Sci N/A
 1. section open 66306 Discussion/ Recitation ADD 02:00PM - 02:50PM R       1304 Siebel Center for Comp Sci N/A
 1. section open 66307 Discussion/ Recitation ADE 03:00PM - 03:50PM R       1304 Siebel Center for Comp Sci N/A
 section closed 66298 Lecture AL1 09:00AM - 09:50AM MWF     1404 Siebel Center for Comp Sci N/A
-------------------------------------------------------------------------------------
CS 374  : Introduction to Algorithms & Models of Computation
 section closed 66445 Lecture AL1 11:00AM - 12:15PM TR      1002 Electrical & Computer Eng Bldg Erickson, J
 1. section open 66446 Discussion/ Recitation AYA 09:00AM - 09:50AM WF      1304 Siebel Center for Comp Sci Erickson, J
 section closed 66447 Discussion/ Recitation AYB 10:00AM - 10:50AM WF      1304 Siebel Center for Comp Sci Erickson, J
 section closed 66448 Discussion/ Recitation AYC 11:00AM - 11:50AM WF      1304 Siebel Center for Comp Sci Erickson, J
 section closed 66449 Discussion/ Recitation AYD 12:00PM - 12:50PM WF      1304 Siebel Center for Comp Sci Erickson, J
 section closed 66450 Discussion/ Recitation AYE 01:00PM - 01:50PM WF      1304 Siebel Center for Comp Sci Erickson, J
 section closed 66451 Discussion/ Recitation AYF 01:00PM - 01:50PM WF      1105 Siebel Center for Comp Sci Erickson, J
 section closed 66452 Discussion/ Recitation AYG 02:00PM - 02:50PM WF      1304 Siebel Center for Comp Sci Erickson, J
 1. section open 66453 Discussion/ Recitation AYH 02:00PM - 02:50PM WF      1105 Siebel Center for Comp Sci Erickson, J
 1. section open 66454 Discussion/ Recitation AYJ 03:00PM - 03:50PM WF      1304 Siebel Center for Comp Sci Erickson, J
 1. section open 66455 Discussion/ Recitation AYK 03:00PM - 03:50PM WF      1105 Siebel Center for Comp Sci Erickson, J
-------------------------------------------------------------------------------------
CS 397  : Individual Study
 section restricted 10464 Independent Study N/A ARRANGED n.a n.a N/A
-------------------------------------------------------------------------------------
CS 411  : Database Systems
 section closed 30109 Lecture-Discussion Q3  03:30PM - 04:45PM TR      1320 Digital Computer Laboratory Chang, K
 section closed 40086 Lecture-Discussion Q4  03:30PM - 04:45PM TR      1320 Digital Computer Laboratory Chang, K
-------------------------------------------------------------------------------------
